               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.044032,            0.034055,           0.0029368,             0.86425,             0.73134,             0.80755,             0.28162,            0.050433,            0.020881,           0.0029518,           0.0076679,           0.0076679,           0.0076679
                  36,            0.044144,            0.035983,           0.0025804,             0.88269,             0.78481,             0.84518,             0.33415,             0.04702,            0.021611,            0.002996,            0.007543,            0.007543,            0.007543
                  37,            0.043148,            0.034983,           0.0025167,             0.88552,             0.78992,             0.85682,              0.3712,            0.045228,            0.020976,           0.0034153,            0.007416,            0.007416,            0.007416
                  38,            0.043193,             0.03489,           0.0024775,             0.86802,             0.77465,             0.83577,             0.29351,            0.048638,            0.020546,           0.0029407,           0.0072872,           0.0072872,           0.0072872
                  39,            0.042722,            0.035155,           0.0022434,             0.88493,             0.78712,             0.84795,             0.32644,             0.04769,            0.020211,             0.00286,           0.0071566,           0.0071566,           0.0071566
                  40,            0.043048,            0.034939,           0.0024698,             0.90107,             0.77446,             0.85614,             0.36263,            0.045262,            0.020799,           0.0027317,           0.0070243,           0.0070243,           0.0070243
                  41,            0.042306,            0.034526,           0.0023744,             0.87057,             0.81186,             0.85709,             0.39021,            0.043404,            0.020718,           0.0035899,           0.0068906,           0.0068906,           0.0068906
                  42,            0.042036,            0.033933,           0.0021203,             0.87868,             0.80516,             0.85744,             0.36082,             0.04619,            0.020427,           0.0024696,           0.0067555,           0.0067555,           0.0067555
                  43,            0.042026,            0.033821,           0.0023041,             0.88956,             0.78904,             0.85493,             0.35241,              0.0453,             0.02067,           0.0039318,           0.0066191,           0.0066191,           0.0066191
                  44,            0.042257,            0.033412,           0.0022753,             0.88312,             0.77603,             0.83664,             0.33006,            0.047988,            0.020333,           0.0032443,           0.0064816,           0.0064816,           0.0064816
                  45,            0.041663,             0.03306,            0.002116,             0.88261,             0.79638,              0.8644,             0.38042,            0.043619,             0.02019,           0.0036749,           0.0063432,           0.0063432,           0.0063432
                  46,            0.041346,            0.032838,           0.0022035,             0.89348,             0.79393,             0.86411,             0.37286,            0.044124,            0.020156,           0.0031736,            0.006204,            0.006204,            0.006204
                  47,            0.040895,            0.033536,           0.0022216,             0.91335,             0.77318,             0.86389,             0.38384,            0.044252,            0.020362,           0.0033179,            0.006064,            0.006064,            0.006064
                  48,            0.041426,            0.033541,           0.0020469,             0.86832,             0.78686,             0.84603,             0.34575,            0.046177,            0.020426,           0.0037799,           0.0059235,           0.0059235,           0.0059235
                  49,              0.0411,            0.034268,           0.0020179,             0.86378,             0.78903,             0.83893,             0.32766,             0.04636,            0.020435,           0.0032298,           0.0057826,           0.0057826,           0.0057826
                  50,            0.040317,            0.032527,           0.0021324,             0.90512,             0.79715,             0.85776,             0.37314,            0.044054,            0.020187,            0.002883,           0.0056413,           0.0056413,           0.0056413
                  51,            0.040261,            0.032025,           0.0021862,             0.90266,             0.79496,             0.85484,              0.3621,            0.045144,            0.019903,           0.0035002,              0.0055,              0.0055,              0.0055
